text,language,clean_text
The city is quiet in the morning.,English,the city is quiet in the morning
She likes reading books about history.,English,she likes reading books about history
This restaurant serves delicious food.,English,this restaurant serves delicious food
We are planning a trip next summer.,English,we are planning a trip next summer
The internet has changed the world.,English,the internet has changed the world
Бүгін мектепте жаңа сабақ басталды.,Kazakh,бүгін мектепте жаңа сабақ басталды
"Менің атым Айдана, мен студентпін.",Kazakh,менің атым айдана мен студентпін
Ол музыка тыңдағанды ұнатады.,Kazakh,ол музыка тыңдағанды ұнатады
Қазақстанның табиғаты өте әдемі.,Kazakh,қазақстанның табиғаты өте әдемі
Бұл кітап өте қызықты екен.,Kazakh,бұл кітап өте қызықты екен
Сегодня я встретил своего друга.,Russian,сегодня я встретил своего друга
Мы живем в большом красивом городе.,Russian,мы живем в большом красивом городе
Эта музыка поднимает настроение.,Russian,эта музыка поднимает настроение
Моя сестра работает в университете.,Russian,моя сестра работает в университете
Вечером мы смотрим старые фильмы.,Russian,вечером мы смотрим старые фильмы
Il aime marcher dans le parc le matin.,French,il aime marcher dans le parc le matin
Paris est une ville pleine d’histoire.,French,paris est une ville pleine dhistoire
Les enfants jouent dehors après l’école.,French,les enfants jouent dehors après lécole
J’adore écouter de la musique française.,French,jadore écouter de la musique française
Le café chaud sent très bon.,French,le café chaud sent très bon
